Symbol,Company Name,Industry,Market Cap
CRC,California Resources,"Oil, Gas & Consumable Fuels",3455346908
CRCT,Cricut,Computer Hardware,1583773380
CRD.A,Crawford & Company,Insurance Brokers,340582395
CRD.B,Crawford & Company,Insurance Brokers,340582339
CRDF,Cardiff Oncology,Biotechnology,120904371
CRDL,Cardiol Therapeutics,Drug Manufacturers-Specialty & Generic,81744960
CRDO,Credo Technology Group Holding,Communication Equipment,2288537905
CREC,Crescera Capital Acquisition,Blank Check / SPAC,267528010
CREG,China Recycling Energy,Commercial Services & Supplies,23761671
CRESY,Cresud SACIF y A.,Real Estate Management & Development,371831898
CREX,Creative Realities,Media,14371560
CRGE,Charge Enterprises,Information Technology Services,599919829
CRGY,Crescent Energy Company,Oil & Gas E&P,2286433643
CRH,CRH Plc,Construction Materials,29582603321
CRHC,Cohn Robbins Holdings,Shell Companies,1033964990
CRI,Carter's,"Textiles, Apparel & Luxury Goods",3227342064
CRIS,Curis,Biotechnology,94110069
CRK,Comstock Resources,"Oil, Gas & Consumable Fuels",3424027892
CRKN,Crown ElectroKinetics,Specialty Chemicals,13326264
CRL,Charles River Laboratories International,Life Sciences Tools & Services,11313523819
CRM,Salesforce.com,Software,1.8905E+11
CRMD,CorMedix,Pharmaceuticals,296750238
CRMT,America's Car-Mart,Specialty Retail,708896080
CRNC,Cerence,Software,1173266190
CRNT,Ceragon Networks,Communications Equipment,223947662
CRNX,Crinetics Pharmaceuticals,Biotechnology,1158400570
CRON,Cronos Group,Pharmaceuticals,1338905996
CROX,Crocs,"Textiles, Apparel & Luxury Goods",4602818640
CRS,Carpenter Technology,Metals & Mining,1626023281
CRSP,CRISPR Therapeutics AG,Biotechnology,6281770810
CRSR,Corsair Gaming,"Technology Hardware, Storage & Periph...",1581522634
CRT,Cross Timbers Royalty Trust,"Oil, Gas & Consumable Fuels",107322000
CRTD,Creatd,Internet Content & Information,14326334
CRTO,Criteo,Media,1586722364
CRU,Crucible Acquisition,Blank Check / SPAC,319556763
CRUS,Cirrus Logic,Semiconductors & Semiconductor Equipment,4699553004
CRVL,CorVel,Health Care Providers & Services,2814618839
CRVS,Corvus Pharmaceuticals,Biotechnology,44533077
CRWD,CrowdStrike Holdings,Software,44279341034
CRWS,Crown Crafts,"Textiles, Apparel & Luxury Goods",62992283
CRXT,Clarus Therapeutics Holdings,Drug Manufacturers-General,15642623
CRZN,Corazon Capital V838 Monoceros,Blank Check / SPAC,250927774
CS,Credit Suisse Group AG,Capital Markets,14623482754
CSBR,Champions Oncology,Life Sciences Tools & Services,121295919
CSCO,Cisco Systems,Communications Equipment,1.86033E+11
CSCW,Color Star Technology Co.,Entertainment,23492094
CSGP,CoStar Group,Professional Services,28829044505
CSGS,CSG Systems International,IT Services,1793261500
CSII,Cardiovascular Systems,Health Care Equipment & Supplies,683762184
CSIQ,Canadian Solar,Semiconductors & Semiconductor Equipment,2525763800
CSL,Carlisle Companies,Industrial Conglomerates,15599531938
CSLM,Consilium Acquisition Corp I,Blank Check / SPAC,233392992
CSPI,CSP Inc.,IT Services,37307989
CSR,Centerspace,"Electronic Equipment, Instruments & C...",1377976007
CSSE,Chicken Soup for the Soul Entertainment,Entertainment,166823865
CSTA,Constellation Acquisition I,Blank Check / SPAC,382850009
CSTE,Caesarstone,Building Products,345621879
CSTL,Castle Biosciences,Biotechnology,801220059
CSTM,Constellium SE,Metals & Mining,2065683044
CSTR,CapStar Financial Holdings,Banks,461065292
CSV,Carriage Services,Diversified Consumer Services,539916336
CSWC,Capital Southwest,Capital Markets,561486566
CSWI,CSW Industrials,Building Products,1913832774
CSX,CSX Corporation,Road & Rail,70585980720
CTAQ,Carney Technology Acquisition II,Blank Check / SPAC,507003740
CTAS,Cintas,Commercial Services & Supplies,42891571559
CTBI,Community Trust Bancorp,Banks,766988229
CTEK,CynergisTek,Health Care Providers & Services,16239333
CTG,Computer Task Group,IT Services,120254152
CTGO,Contango ORE,Metals & Mining,162274958
CTHR,Charles & Colvard,"Textiles, Apparel & Luxury Goods",41122989
CTIB,Yunhong CTI,Household Durables,5159774
CTIC,CTI BioPharma,Biotechnology,754051612
CTKB,Cytek Biosciences,Medical Devices,2018724314
CTLP,Cantaloupe,Information Technology Services,441954852
CTLT,Catalent,Pharmaceuticals,19639055070
CTMX,CytomX Therapeutics,Biotechnology,106839327
CTO,CTO Realty Growth,Real Estate Management & Development,393091404
CTOS,Custom Truck One Source,Trading Companies & Distributors,1648949366
CTRA,Coterra Energy,"Oil, Gas & Consumable Fuels",22240859147
CTRE,CareTrust REIT,Equity Real Estate Investment Trusts ...,2100671376
CTRM,Castor Maritime,Marine,159891060
CTRN,Citi Trends,Specialty Retail,233392092
CTS,CTS Corporation,"Electronic Equipment, Instruments & C...",1316355543
CTSH,Cognizant Technology Solutions,IT Services,35473451583
CTSO,CytoSorbents,Health Care Equipment & Supplies,90609163
CTT,CatchMark Timber Trust,Equity Real Estate Investment Trusts ...,533656251
CTV,Innovid,Advertising Agencies,392973694
CTVA,Corteva,Chemicals,43016725384
CTXR,Citius Pharmaceuticals,Pharmaceuticals,149783237
CTXS,Citrix Systems,Software,12976529256
CUBE,CubeSmart,Equity Real Estate Investment Trusts ...,10856657783
CUBI,Customers Bancorp,Banks,1197224265
CUE,Cue Biopharma,Biotechnology,108975629
CUEN,Cuentas,Diversified Telecommunication Services,9326624
CUK,Carnival,"Hotels, Restaurants & Leisure",10895555323
CULL,Cullman Bancorp,Banks,82575662
CULP,"Culp, Inc.","Textiles, Apparel & Luxury Goods",59404739
CURI,CuriosityStream,Broadcasting,105549796
CURO,CURO Group Holdings,Consumer Finance,316336959
CURV,Torrid Holdings,Apparel Retail,582647863
CUTR,Cutera,Health Care Equipment & Supplies,871025847
CUZ,Cousins Properties,Equity Real Estate Investment Trusts ...,4414301158
CVAC,CureVac,Biotechnology,2553265908
CVBF,CVB Financial,Banks,3679883385
CVCO,Cavco Industries,Household Durables,2486599952
CVCY,Central Valley Community Bancorp,Banks,194538703
CVE,Cenovus Energy,"Oil, Gas & Consumable Fuels",33224837128
CVEO,Civeo,Commercial Services & Supplies,377400773
CVET,Covetrus,Health Care Providers & Services,2912096800
CVGI,Commercial Vehicle Group,Machinery,256551928
CVGW,Calavo Growers,Food Products,740555212
CVI,CVR Energy,"Oil, Gas & Consumable Fuels",3201409663
CVII,Churchill Capital VII,Blank Check / SPAC,1689637500
CVLG,Covenant Logistics Group,Road & Rail,514025466
CVLT,Commvault Systems,Software,2567866131
CVLY,Codorus Valley Bancorp,Banks,196544600
CVM,Cel-Sci,Biotechnology,177861842
CVNA,Carvana Co.,Specialty Retail,7992000180
CVR,Chicago Rivet & Machine Co.,Machinery,26689368
CVRX,"CVRx, Inc.",Medical Devices,187860687
CVS,CVS Health,Health Care Providers & Services,1.34001E+11
CVT,Cvent Holding,Software-Application,3116273856
CVV,CVD Equipment,Semiconductors & Semiconductor Equipment,39909343
CVX,Chevron,"Oil, Gas & Consumable Fuels",3.03072E+11
CW,Curtiss-Wright,Aerospace & Defense,5553438174
CWAN,Clearwater Analytics Holdings,Software-Application,4313718411
CWBC,Community West Bancshares,Banks,118252000
CWBR,CohBar,Biotechnology,15821969
CWCO,Consolidated Water Co.,Water Utilities,230352469
CWEN,Clearway Energy,Independent Power and Renewable Elect...,7330598433
CWEN.A,Clearway Energy,Independent Power and Renewable Elect...,7322410781
CWH,Camping World Holdings,Specialty Retail,1297397873
CWK,Cushman & Wakefield,Real Estate Management & Development,3596131316
CWST,Casella Waste Systems,Commercial Services & Supplies,4324931987
CWT,California Water Service Group,Water Utilities,3236356120
CX,CEMEX,Construction Materials,6536155139
CXAC,C5 Acquisition,Blank Check / SPAC,360453114
CXDO,Crexendo,IT Services,60772292
CXM,Sprinklr,Software-Application,3296575423
CXW,CoreCivic,Equity Real Estate Investment Trusts ...,1138751971
CYAD,Celyad Oncology,Biotechnology,51514317
CYAN,Cyanotech,Personal Products,18921102
CYBE,CyberOptics,Semiconductors & Semiconductor Equipment,392506042
CYBN,Cybin,Biotechnology,133510644
CYBR,CyberArk Software,Software,5619256563
CYCC,Cyclacel Pharmaceuticals,Biotechnology,13793086
CYCN,Cyclerion Therapeutics,Biotechnology,43404947
CYD,China Yuchai International,Machinery,349951313
CYH,Community Health Systems,Health Care Providers & Services,491028837
CYN,Cyngn,Software-Application,42472751
CYRN,Cyren,Software,13846613
CYRX,CryoPort,Health Care Equipment & Supplies,2035789013
CYT,Cyteir Therapeutics,Biotechnology,88522495
CYTH,Cyclo Therapeutics,Drug Manufacturers-Specialty & Generic,19257066
CYTK,Cytokinetics,Biotechnology,4576397206
CYTO,Altamira Therapeutics,Biotechnology,7003935
CYXT,Cyxtera Technologies,Information Technology Services,2198147386
CZNC,Citizens & Northern,Banks,375948595
CZOO,Cazoo Group,Auto & Truck Dealerships,742230613
CZR,Caesars Entertainment,"Hotels, Restaurants & Leisure",10600776282
CZWI,Citizens Community Bancorp,Banks,142213038
D,Dominion Energy,Multi-Utilities,66150957023
DAC,Danaos,Marine,1574701975
DADA,Dada Nexus,Internet & Direct Marketing Retail,1749061278
DAIO,Data I/O,"Electronic Equipment, Instruments & C...",29880409
DAKT,Daktronics,"Electronic Equipment, Instruments & C...",172479454
DAL,Delta Air Lines,Airlines,21608374352
DALN,DallasNews,Media,36557506
DALS,DA32 Life Science Tech Acquisition,Blank Check / SPAC,249702730
DAN,Dana Incorporated,Auto Components,2320168126
DAO,Youdao,Diversified Consumer Services,579457404
DAOO,Crypto 1 Acquisition,Blank Check / SPAC,286350009
DAR,Darling Ingredients,Food Products,11616086592
DARE,Dare Bioscience,Health Care Equipment & Supplies,105042008
DASH,DoorDash,Internet & Direct Marketing Retail,26607187121
DATS,DatChat,Software-Application,24300776
DAVA,Endava,IT Services,6082919162
DAVE,Dave Inc.,Software-Application,270151043
DAWN,Day One Biopharmaceuticals,Biotechnology,1750945437
DB,Deutsche Bank AG,Capital Markets,18310862106
DBD,Diebold Nixdorf,"Technology Hardware, Storage & Periph...",362861190
DBGI,Digital Brands Group,Apparel Retail,6849175
DBI,Designer Brands,Specialty Retail,1144648077
DBRG,DigitalBridge Group,REIT-Diversified,3541364319
DBTX,Decibel Therapeutics,Biotechnology,108345934
DBVT,DBV Technologies,Biotechnology,520311262
DBX,Dropbox,Software,9025764312
DC,Dakota Gold,Gold,156089197
DCBO,Docebo,Software-Application,1186536627
DCFC,Tritium DCFC,Electrical Equipment & Parts,1048693906
DCGO,DocGo,Medical Care Facilities,898112178
DCI,Donaldson Company,Machinery,6703568687
DCO,Ducommun,Aerospace & Defense,570917983
DCOM,Dime Community Bancshares,Thrifts & Mortgage Finance,1300699849
DCP,DCP Midstream LP,"Oil, Gas & Consumable Fuels",6830860136
DCPH,Deciphera Pharmaceuticals,Biotechnology,1118601937
DCRD,Decarbonization Plus Acquisition IV,Blank Check / SPAC,393730761
DCT,Duck Creek Technologies,Software,1873891042
DCTH,Delcath Systems,Medical Devices,36884047
DD,DuPont de Nemours,Chemicals,29788643010
DDD,3D Systems,"Technology Hardware, Storage & Periph...",1718506582
DDI,DoubleDown Interactive Co.,Electronic Gaming & Multimedia,545087411
DDL,Dingdong (Cayman),Grocery Stores,1044741399
DDOG,Datadog,Software,35970215117
DDS,Dillard's,Multiline Retail,4520397826
DE,Deere & Company,Machinery,1.0525E+11
DEA,Easterly Government Properties,Equity Real Estate Investment Trusts ...,3328523681
DECA,Denali Capital Acquisition,Blank Check / SPAC,108225000
DECK,Deckers Outdoor,"Textiles, Apparel & Luxury Goods",8537543466
DEI,Douglas Emmett,Equity Real Estate Investment Trusts ...,4533485923
DELL,Dell Technologies,"Technology Hardware, Storage & Periph...",33529746709
DEN,Denbury,"Oil, Gas & Consumable Fuels",3878412923
DENN,Denny's,"Hotels, Restaurants & Leisure",563365360
DEO,Diageo,Beverages,1.07702E+11
DERM,Journey Medical,Drug Manufacturers-Specialty & Generic,72166824
DESP,Despegar.com,Internet & Direct Marketing Retail,542486713
DFFN,Diffusion Pharmaceuticals,Biotechnology,14415711
DFH,Dream Finders Homes,Residential Construction,1135368850
DFIN,Donnelley Financial Solutions,Capital Markets,1254473604
DFS,Discover Financial Services,Consumer Finance,28263637411
DG,Dollar General,Multiline Retail,57947791862
DGICA,Donegal Group,Insurance,463117265
DGICB,Donegal Group,Insurance,457427796
DGII,Digi International,Communications Equipment,1159552573
DGLY,Digital Ally,"Electronic Equipment, Instruments & C...",38903742
DGNU,Dragoneer Growth Opportunities III,Blank Check / SPAC,527578109
DGX,Quest Diagnostics,Health Care Providers & Services,16321342519
DH,Definitive Healthcare,Health Information Services,2622834545
DHAC,Digital Health Acquisition,Blank Check / SPAC,150365229
DHBC,DHB Capital,Blank Check / SPAC,353624990
DHC,Diversified Healthcare Trust,Equity Real Estate Investment Trusts ...,447160030
DHCA,DHC Acquisition,Blank Check / SPAC,380623992
DHHC,DiamondHead Holdings,Blank Check / SPAC,425643740
DHI,D.R. Horton,Household Durables,26895028935
DHIL,Diamond Hill Investment Group,Capital Markets,550359312
DHR,Danaher,Health Care Equipment & Supplies,2.08835E+11
DHT,DHT Holdings,"Oil, Gas & Consumable Fuels",1225138684
DHX,DHI Group,Interactive Media & Services,237900833
DIBS,1stdibs.com,Internet Retail,274463776
DICE,DICE Therapeutics,Biotechnology,748529674
DILA,DILA Capital Acquisition,Blank Check / SPAC,74885262
DIN,Dine Brands Global,"Hotels, Restaurants & Leisure",1213442440
DINO,HF Sinclair,"Oil, Gas & Consumable Fuels",10505203941
DIOD,Diodes,Semiconductors & Semiconductor Equipment,3605733680
DIS,The Walt Disney Company,Entertainment,1.99261E+11
DISA,Disruptive Acquisition I,Blank Check / SPAC,338593759
DISH,DISH Network,Media,10359507530
DIT,AMCON Distributing Company,Distributors,125232350
DJCO,Daily Journal,Media,372843922
DK,Delek US Holdings,"Oil, Gas & Consumable Fuels",1725442651
DKDCA,Data Knights Acquisition,Blank Check / SPAC,154090060
DKL,Delek Logistics Partners LP,"Oil, Gas & Consumable Fuels",2205104116
DKNG,DraftKings Holdings,"Hotels, Restaurants & Leisure",8329499312
DKS,Dick's Sporting Goods,Specialty Retail,8109903678
DLA,Delta Apparel,"Textiles, Apparel & Luxury Goods",157926968
DLB,Dolby Laboratories,"Electronic Equipment, Instruments & C...",7941445292
DLCA,Deep Lake Capital Acquisition,Blank Check / SPAC,256033134
DLHC,DLH Holdings,Professional Services,225267411
DLNG,Dynagas LNG Partners,"Oil, Gas & Consumable Fuels",118503084
DLO,DLocal,Software-Infrastructure,9145867380
DLPN,Dolphin Entertainment,Entertainment,47568755
DLR,Digital Realty Trust,Equity Real Estate Investment Trusts ...,37994356191
DLTH,Duluth Holdings,Internet & Direct Marketing Retail,324256254
DLTR,Dollar Tree,Multiline Retail,37321207033
DLX,Deluxe,Commercial Services & Supplies,1008108929
DM,Desktop Metal,Computer Hardware,796190947
DMAC,DiaMedica Therapeutics,Biotechnology,47862007
DMAQ,Deep Medicine Acquisition,Blank Check / SPAC,165975320
DMLP,Dorchester Minerals,"Oil, Gas & Consumable Fuels",992948885
DMRC,Digimarc,Software,357076098
DMS,Digital Media Solutions,Advertising Agencies,52785683
DMTK,DermTech,Biotechnology,262279673
DMYS,"dMY Technology Group, Inc. VI",Blank Check / SPAC,296139384
DNA,Ginkgo Bioworks Holdings,Biotechnology,5739199576
DNAA,Social Capital Suvretta Holdings I,Shell Companies,318262170
DNAB,Social Capital Suvretta Holdings II,Blank Check / SPAC,311724730
DNAD,Social Capital Suvretta Holdings IV,Blank Check / SPAC,311246400
DNAY,Codex DNA,Medical Devices,71128985
DNB,Dun & Bradstreet Holdings,Professional Services,7014748475
DNLI,Denali Therapeutics,Biotechnology,4569362085
DNMR,Danimer Scientific,Chemicals,474229340
DNN,Denison Mines,"Oil, Gas & Consumable Fuels",1006440431
DNOW,NOW Inc.,Trading Companies & Distributors,1243748175
DNUT,Krispy Kreme,Grocery Stores,2462611707
DNZ,D & Z Media Acquisition,Blank Check / SPAC,354343740
DO,Diamond Offshore Drilling,Energy Equipment & Services,654990875
DOC,Physicians Realty Trust,Equity Real Estate Investment Trusts ...,4197612547
DOCN,DigitalOcean Holdings,Software-Infrastructure,4831372000
DOCS,Doximity,Health Information Services,7799830561
DOCU,DocuSign,Software,14990801399
DOGZ,Dogness (International),"Textiles, Apparel & Luxury Goods",67944535
DOLE,Dole plc,Farm Products,869554111
DOMA,Doma Holdings,Shell Companies,248208342
DOMO,"Domo, Inc.",Software,1136302956
DOOO,BRP Inc.,Leisure Products,5859659806
DOOR,Masonite International,Building Products,2046645409
DORM,Dorman Products,Auto Components,3164249373
DOUG,Douglas Elliman,Real Estate Services,465073821
DOV,Dover,Machinery,19269299880
DOW,Dow Inc.,Chemicals,37739674115
DOX,Amdocs,IT Services,10664354686
DOYU,DouYu International Holdings,Entertainment,369868830
DPCS,DP Cap Acquisition I,Blank Check / SPAC,287212470
DPRO,Draganfly,Aerospace & Defense,30888249
DPSI,DecisionPoint Systems,IT Services,45059844
DPZ,Domino's Pizza,"Hotels, Restaurants & Leisure",14215164266
DQ,Daqo New Energy,Semiconductors & Semiconductor Equipment,4746834790
DRAY,Macondray Capital Acquisition I,Blank Check / SPAC,357218710
DRCT,Direct Digital Holdings,Advertising Agencies,7112000
DRD,DRDGOLD,Metals & Mining,569696064
DRE,Duke Realty,Equity Real Estate Investment Trusts ...,24065378638
DRH,DiamondRock Hospitality Company,Equity Real Estate Investment Trusts ...,1952849465
DRI,Darden Restaurants,"Hotels, Restaurants & Leisure",15519898515
DRIO,DarioHealth,Health Care Equipment & Supplies,149733006
DRMA,Dermata Therapeutics,Biotechnology,5905414
DRQ,Dril-Quip,Energy Equipment & Services,771006599
DRRX,DURECT,Pharmaceuticals,144630149
DRTS,Alpha Tau Medical,Biotechnology,739936124
DRTT,DIRTT Environmental Solutions,Building Products,73748448
DRUG,Bright Minds Biosciences,Biotechnology,11990619
DRVN,Driven Brands Holdings,Auto & Truck Dealerships,5256401291
DS,Drive Shack,"Hotels, Restaurants & Leisure",150125626
DSAQ,Direct Selling Acquisition,Blank Check / SPAC,289512479
DSEY,Diversey Holdings,Personal Services,2146634366
DSGN,Design Therapeutics,Biotechnology,1192069888
DSGR,Distribution Solutions Group,Trading Companies & Distributors,965526615
DSGX,The Descartes Systems Group,Software,6196245995
DSKE,Daseke,Road & Rail,455332291
DSP,Viant Technology,Software-Application,356831839
DSS,"DSS, Inc.",Commercial Services & Supplies,52145272
DSWL,Deswell Industries,"Electronic Equipment, Instruments & C...",50355232
DSX,Diana Shipping,Marine,510393151
DT,Dynatrace,Software,12125747029
DTC,Solo Brands,Internet Retail,334122184
DTE,DTE Energy Company,Multi-Utilities,25065564715
DTEA,DAVIDsTEA,Specialty Retail,39799270
DTIL,Precision BioSciences,Biotechnology,172612367
DTM,DT Midstream,Oil & Gas Midstream,5290404117
DTOC,Digital Transformation Opportunities,Blank Check / SPAC,410205000
DTRT,DTRT Health Acquisition,Blank Check / SPAC,290518750
DTSS,Datasea,Software,40135590
DTST,Data Storage,Information Technology Services,18718478
DUET,DUET Acquisition,Blank Check / SPAC,112012115
DUK,Duke Energy,Electric Utilities,84049816585
DUNE,Dune Acquisition,Blank Check / SPAC,210449990
DUO,Fangdd Network Group,Interactive Media & Services,14608496
DUOL,Duolingo,Software-Application,3842323243
DUOT,Duos Technologies Group,Software,24447927
DV,DoubleVerify Holdings,Software-Application,4368252076
DVA,DaVita,Health Care Providers & Services,8051746823
DVAX,Dynavax Technologies,Biotechnology,2142469475
DVN,Devon Energy,"Oil, Gas & Consumable Fuels",37592068057
DWAC,Digital World Acquisition,Blank Check / SPAC,1141002671
DWIN,Delwinds Insurance Acquisition,Blank Check / SPAC,168282780
DWSN,Dawson Geophysical Company,Energy Equipment & Services,33575343
DX,Dynex Capital,Mortgage Real Estate Investment Trust...,730525627
DXC,DXC Technology Company,IT Services,6034270830
DXCM,DexCom,Health Care Equipment & Supplies,35787775484
DXF,Dunxin Financial Holdings,Diversified Financial Services,10692237
DXLG,Destination XL Group,Specialty Retail,281268412
DXPE,DXP Enterprises,Trading Companies & Distributors,604803229
DXR,Daxor,Health Care Equipment & Supplies,56928235
DXYN,The Dixie Group,Household Durables,26619316
DY,Dycom Industries,Construction & Engineering,3114041894
DYAI,Dyadic International,Biotechnology,79705038
DYN,Dyne Therapeutics,Independent Power and Renewable Elect...,579254837
DYNT,Dynatronics,Health Care Equipment & Supplies,12056373
DZSI,"DZS, Inc.",Communications Equipment,377960990
E,Eni SpA,"Oil, Gas & Consumable Fuels",41397493784
EA,Electronic Arts,Entertainment,36508087913
EAC,Edify Acquisition,Blank Check / SPAC,340515000
EAF,GrafTech International,Electrical Equipment,1751307520
EAR,Eargo,Medical Devices,54314865
EARN,Ellington Residential Mortgage REIT,Mortgage Real Estate Investment Trust...,112142084
EAST,Eastside Distilling,Beverages,10929347
EAT,Brinker International,"Hotels, Restaurants & Leisure",1284105906
EB,Eventbrite,Interactive Media & Services,832277961
EBAC,European Biotech Acquisition,Blank Check / SPAC,161526219
EBAY,eBay Inc.,Internet & Direct Marketing Retail,26542107750
EBC,Eastern Bankshares,Banks,3643337671
EBET,"EBET, INC.",Gambling,35825905
EBF,Ennis,Commercial Services & Supplies,555827070
EBIX,"Ebix, Inc.",Software,757167600
EBMT,Eagle Bancorp Montana,Banks,157684975
EBON,Ebang International Holdings,Computer Hardware,106823054
EBR,Centrais Eletricas Brasileiras,Electric Utilities,21930723710
EBS,Emergent BioSolutions,Biotechnology,1550194035
EBTC,Enterprise Bancorp,Banks,390374265
EC,Ecopetrol,"Oil, Gas & Consumable Fuels",22403753053
ECBK,ECB Bancorp,Banks-Regional,128269995
ECC,Eagle Point Credit Company,Securities and Commodity Exchanges,466284318
ECL,Ecolab,Chemicals,47210204163
ECOM,ChannelAdvisor,Software,464146418
ECOR,electroCore,Health Care Equipment & Supplies,44728059
ECPG,Encore Capital Group,Consumer Finance,1340656940
ECVT,Ecovyst,Specialty Chemicals,1238864372
ED,Consolidated Edison,Multi-Utilities,34791586526
EDAP,EDAP TMS,Health Care Equipment & Supplies,252501724
EDBL,Edible Garden AG,Farm Products,10256102
EDIT,Editas Medicine,Biotechnology,1302226216
EDN,Empresa Distribuidora y Comercializadora Norte,Electric Utilities,295858146
EDNC,Endurance Acquisition,Blank Check / SPAC,247499980
EDR,Endeavor Group Holdings,Entertainment,6836337546
EDRY,EuroDry,Marine,53270112
EDSA,Edesa Biotech,Biotechnology,36568339
EDTK,Skillful Craftsman Education Technology,Education & Training Services,14155000
EDTX,EdtechX Holdings Acquisition II,Blank Check / SPAC,147918750
EDU,New Oriental Education & Technology Group,Diversified Consumer Services,4274343517
EDUC,Educational Development,Distributors,30732998
EE,Excelerate Energy,Utilities-Renewable,2424299528
EEFT,Euronet Worldwide,IT Services,4854991104
EEIQ,Elite Education Group International,Diversified Consumer Services,20986070
EEX,Emerald Holding,Media,234235853
EFC,Ellington Financial,Mortgage Real Estate Investment Trust...,951428854
EFOI,Energy Focus,Electrical Equipment,6321960
EFSC,Enterprise Financial Services,Banks,1730711493
EFTR,eFFECTOR Therapeutics,Biotechnology,36784492
EFX,Equifax,Professional Services,26063855148
EGAN,eGain,Software,302934016
EGBN,Eagle Bancorp,Banks,1524819388
EGGF,EG Acquisition,Blank Check / SPAC,274500000
EGHT,"8x8, Inc.",Software,589028154
EGIO,Edgio,Software-Infrastructure,618691955
EGLE,Eagle Bulk Shipping,Marine,723053584
EGLX,Enthusiast Gaming Holdings,Internet Content & Information,294276750
EGO,Eldorado Gold,Metals & Mining,1180510108
EGP,EastGroup Properties,Equity Real Estate Investment Trusts ...,7506421800
EGRX,Eagle Pharmaceuticals,Biotechnology,570606384
EGY,VAALCO Energy,"Oil, Gas & Consumable Fuels",292262725
EH,EHang Holdings,Aerospace & Defense,437544616
EHAB,Enhabit,Medical Care Facilities,684604662
EHC,Encompass Health,Health Care Providers & Services,5288401735
EHTH,eHealth,Insurance,217911559
EIC,Eagle Point Income Company,Securities and Commodity Exchanges,0
EIG,Employers Holdings,Insurance,1066099143
EIGR,Eiger BioPharmaceuticals,Biotechnology,371874540
EIX,Edison International,Electric Utilities,25731401235
EJH,E-Home Household Service Holdings,Personal Services,14235828
EKSO,Ekso Bionics Holdings,Health Care Equipment & Supplies,26704529
EL,The Estee Lauder Companies,Personal Products,96608760909
ELA,Envela,Specialty Retail,211896602
ELAN,Elanco Animal Health,Pharmaceuticals,9448733399
ELBM,Electra Battery Materials,Other Industrial Metals & Mining,115729613
ELDN,Eledon Pharmaceuticals,Biotechnology,45535008
ELEV,Elevation Oncology,Biotechnology,29344267
ELF,e.l.f. Beauty,Personal Products,1958313536
ELLO,Ellomay Capital,Independent Power and Renewable Elect...,343333269
ELMD,Electromed,Health Care Equipment & Supplies,78915880
ELOX,Eloxx Pharmaceuticals,Pharmaceuticals,28084271
ELP,Companhia Paranaense de Energia,Electric Utilities,18663271606
ELS,Equity LifeStyle Properties,Equity Real Estate Investment Trusts ...,14553484792
ELSE,Electro-Sensors,"Electronic Equipment, Instruments & C...",20077818
ELTK,Eltek,"Electronic Equipment, Instruments & C...",24861140
ELV,Elevance Health,Health Care Providers & Services,1.13837E+11
ELVT,Elevate Credit,Consumer Finance,73034777
ELY,Callaway Golf Company,Leisure Products,4173954187
ELYM,Eliem Therapeutics,Biotechnology,74123880
ELYS,Elys Game Technology,Gambling,17083805
EM,Smart Share Global,Personal Services,287145247
EMAN,eMagin,Semiconductors & Semiconductor Equipment,57694303
EMBC,Embecta,Drug Manufacturers-Specialty & Generic,1799254821
EMBK,Embark Technology,Software-Application,250646598
EMCF,Emclaire Financial,Banks,88620804
EME,EMCOR Group,Construction & Engineering,5662224056
EMKR,EMCORE,Communications Equipment,124569720
EML,The Eastern Company,Machinery,131972171
EMLD,FTAC Emerald Acquisition,Blank Check / SPAC,339264607
EMN,Eastman Chemical Company,Chemicals,11852296396
EMR,Emerson Electric Company,Electrical Equipment,53448119370
EMWP,Eros Media World,Entertainment,41536635
EMX,EMX Royalty,Metals & Mining,210952314
ENB,Enbridge,"Oil, Gas & Consumable Fuels",88424974303
ENCP,Energem,Blank Check / SPAC,132604492
ENDP,Endo International,Pharmaceuticals,155551415
ENER,Accretion Acquisition,Blank Check / SPAC,257480455
ENFN,Enfusion,Software-Application,892260755
ENG,ENGlobal,Energy Equipment & Services,51161483
ENIC,Enel Chile,Electric Utilities,2137244819
ENJYQ,Enjoy Technology,Specialty Retail,8787542
ENLC,EnLink Midstream LLC,"Oil, Gas & Consumable Fuels",4384631248
ENLV,Enlivex Therapeutics,Software,93008366
ENOB,Enochian Biosciences,Biotechnology,137140494
ENOV,Enovis,Specialty Industrial Machinery,3176860120
ENPC,Executive Network Partnering,Shell Companies,441176930
ENPH,Enphase Energy,Semiconductors & Semiconductor Equipment,39171452368
ENR,Energizer Holdings,Household Products,2280722391
ENS,EnerSys,Electrical Equipment,2805842382
ENSC,Ensysce Biosciences,Biotechnology,16606953
ENSG,The Ensign Group,Health Care Providers & Services,4744426404
ENSV,Enservco,Energy Equipment & Services,16973091
ENTA,Enanta Pharmaceuticals,Biotechnology,1470808755
ENTF,Enterprise 4.0 Technology Acquisition,Blank Check / SPAC,383145979
ENTG,Entegris,Semiconductors & Semiconductor Equipment,15343292412
ENTX,Entera Bio,Biotechnology,53298311
ENV,Envestnet,Software,3118634379
ENVA,Enova International,Consumer Finance,1131574710
ENVB,Enveric Biosciences,Biotechnology,9005780
ENVX,Enovix,Electrical Equipment & Parts,2116380567
ENZ,Enzo Biochem,Health Care Providers & Services,128622127
EOCW,Elliott Opportunity II,Blank Check / SPAC,749685049
EOG,EOG Resources,"Oil, Gas & Consumable Fuels",63128765891
